iter	Passed	Remaining
287	7858	19427
288	7883	19394
289	7922	19396
290	7949	19369
291	7976	19341
292	8000	19305
293	8025	19271
294	8048	19234
295	8073	19202
296	8098	19169
297	8129	19150
298	8152	19114
299	8178	19082
300	8202	19048
301	8227	19016
302	8252	18982
303	8278	18952
304	8303	18921
305	8334	18902
306	8361	18873
307	8385	18841
308	8412	18811
309	8438	18782
310	8464	18753
311	8488	18718
312	8515	18689
313	8540	18658
314	8569	18635
315	8596	18607
316	8622	18578
317	8648	18547
318	8674	18518
319	8698	18484
320	8726	18458
321	8752	18429
322	8793	18429
323	8818	18398
324	8843	18368
325	8872	18343
326	8899	18317
327	8932	18299
328	8998	18351
329	9033	18341
330	9060	18312
331	9089	18288
332	9114	18256
333	9141	18228
334	9173	18210
335	9203	18186
336	9228	18155
337	9254	18125
338	9280	18096
339	9306	18066
340	9333	18037
341	9358	18004
342	9385	17976
343	9409	17943
344	9450	17942
345	9476	17911
346	9500	17878
347	9528	17853
348	9559	17831
349	9588	17807
350	9616	17781
351	9644	17755
352	9671	17727
353	9696	17694
354	9723	17665
355	9747	17632
356	9773	17603
357	9798	17571
358	9825	17544
359	9851	17513
360	9877	17484
361	9904	17455
362	9929	17424
363	9956	17395
364	9980	17363
365	10008	17337
366	10036	17311
367	10060	17277
368	10085	17246
369	10108	17212
370	10134	17181
371	10157	17148
372	10182	17116
373	10208	17086
374	10254	17091
375	10292	17081
376	10321	17055
377	10347	17026
378	10372	16996
379	10398	16965
380	10426	16939
381	10466	16933
382	10494	16905
383	10519	16875
384	10546	16847
385	10570	16814
386	10596	16784
387	10620	16751
388	10648	16726
389	10676	16698
390	10701	16668
391	10726	16637
392	10750	16605
393	10775	16573
394	10800	16541
395	10824	16510
396	10849	16479
397	10878	16454
398	10904	16425
399	10932	16399
400	10958	16369
401	10983	16338
402	11008	16307
403	11032	16276
404	11060	16248
405	11090	16226
406	11117	16198
407	11143	16169
408	11175	16148
409	11205	16125
410	11235	16101
411	11265	16077
412	11294	16052
413	11336	16045
414	11361	16015
415	11390	15991
416	11416	15961
417	11446	15937
418	11499	15945
419	11526	15917
420	11555	15891
421	11582	15863
422	11608	15835
423	11635	15806
424	11661	15777
425	11689	15751
426	11714	15720
427	11740	15690
428	11767	15662
429	11795	15636
430	11821	15607
431	11847	15576
432	11871	15545
433	11896	15515
434	11921	15484
435	11947	15454
436	11971	15423
437	12012	15412
438	12036	15381
439	12062	15352
440	12087	15321
441	12111	15290
442	12135	15258
443	12158	15226
444	12183	15195
445	12209	15165
446	12238	15140
447	12264	15111
448	12290	15082
449	12317	15054
450	12341	15023
451	12368	14995
452	12392	14963
453	12417	14933
454	12441	14902
455	12470	14877
456	12496	14848
457	12522	14819
458	12547	14789
459	12571	14757
460	12596	14727
461	12621	14697
462	12646	14667
463	12674	14640
464	12699	14611
465	12725	14582
466	12751	14553
467	12776	14523
468	12799	14491
469	12829	14467
470	12882	14469
471	12922	14455
472	12948	14426
473	12974	14398
474	12999	14367
475	13024	14337
476	13049	14307
477	13073	14277
478	13096	14245
479	13120	14214
480	13148	14187
481	13174	14158
482	13198	14127
483	13222	14097
484	13246	14066
485	13274	14039
486	13299	14009
487	13326	13981
488	13352	13953
489	13377	13923
490	13404	13895
491	13427	13864
492	13454	13836
493	13479	13806
494	13504	13777
495	13530	13748
496	13555	13719
497	13583	13692
498	13607	13662
499	13632	13632
500	13656	13602
501	13682	13573
502	13707	13543
503	13730	13512
504	13768	13496
505	13794	13467
506	13819	13438
507	13844	13408
508	13870	13379
509	13894	13349
510	13918	13319
511	13944	13291
512	13970	13262
513	13998	13235
514	14022	13205
515	14047	13176
516	14070	13145
517	14096	13116
518	14118	13085
519	14143	13055
520	14167	13025
521	14196	13000
522	14220	12969
523	14248	12942
524	14272	12912
525	14327	12910
526	14356	12885
527	14380	12855
528	14407	12827
529	14446	12811
530	14471	12781
531	14496	12752
532	14523	12725
533	14547	12695
534	14572	12666
535	14597	12636
536	14626	12610
537	14651	12581
538	14677	12553
539	14700	12522
540	14724	12493
541	14749	12463
542	14774	12434
543	14798	12404
544	14824	12376
545	14852	12350
546	14877	12321
547	14902	12291
548	14926	12262
549	14953	12234
550	14978	12205
551	15003	12176
552	15029	12148
553	15056	12121
554	15083	12094
555	15108	12064
556	15134	12037
557	15158	12007
558	15184	11979
559	15208	11949
560	15233	11920
561	15271	11902
562	15304	11879
563	15342	11860
564	15374	11837
565	15402	11810
566	15430	11783
567	15458	11757
568	15484	11728
569	15513	11703
570	15538	11674
571	15564	11645
572	15590	11617
573	15615	11589
574	15639	11559
575	15665	11531
576	15689	11501
577	15716	11474
578	15769	11466
579	15799	11441
580	15823	11411
581	15849	11383
582	15874	11354
583	15900	11326
584	15927	11298
585	15952	11270
586	15978	11242
587	16003	11213
588	16029	11184
589	16053	11155
590	16077	11126
591	16102	11097
592	16142	11079
593	16167	11050
594	16192	11021
595	16217	10992
596	16242	10964
597	16266	10935
598	16290	10905
599	16318	10879
600	16345	10851
601	16370	10822
602	16396	10794
603	16421	10766
604	16447	10738
605	16471	10708
606	16496	10680
607	16519	10650
608	16545	10622
609	16574	10596
610	16600	10568
611	16626	10540
612	16649	10511
613	16672	10481
614	16697	10452
615	16721	10423
616	16746	10395
617	16770	10366
618	16800	10340
619	16825	10312
620	16850	10284
621	16874	10254
622	16897	10225
623	16921	10196
624	16948	10169
625	16973	10140
626	17030	10131
627	17066	10109
628	17093	10081
629	17118	10053
630	17144	10025
631	17169	9997
632	17198	9971
633	17226	9944
634	17254	9917
635	17278	9889
636	17303	9860
637	17327	9831
638	17352	9803
639	17377	9775
640	17405	9748
641	17432	9720
642	17458	9693
643	17481	9663
644	17507	9635
645	17531	9607
646	17557	9579
647	17582	9550
648	17608	9523
649	17636	9496
650	17672	9473
651	17698	9446
652	17722	9417
653	17748	9389
654	17773	9361
655	17800	9334
656	17823	9305
657	17848	9276
658	17872	9248
659	17900	9221
660	17928	9194
661	17954	9166
662	17979	9139
663	18003	9109
664	18028	9081
665	18052	9053
666	18076	9024
667	18101	8996
668	18126	8968
669	18155	8942
670	18184	8916
671	18214	8890
672	18243	8864
673	18271	8837
674	18302	8812
675	18335	8787
676	18362	8761
677	18394	8735
678	18421	8708
679	18449	8682
680	18479	8656
681	18511	8631
682	18555	8612
683	18584	8585
684	18613	8559
685	18672	8546
686	18699	8519
687	18732	8495
688	18761	8468
689	18790	8441
690	18817	8414
691	18845	8387
692	18873	8361
693	18900	8333
694	18933	8308
695	18964	8283
696	18994	8257
697	19023	8230
698	19050	8203
699	19078	8176
700	19107	8149
701	19134	8122
702	19163	8096
703	19194	8070
704	19221	8043
705	19250	8016
706	19277	7989
707	19305	7962
708	19333	7935
709	19361	7908
710	19388	7880
711	19435	7861
712	19464	7834
713	19491	7807
714	19520	7780
715	19547	7753
716	19575	7726
717	19603	7699
718	19633	7673
719	19662	7646
720	19690	7619
721	19719	7592
722	19747	7565
723	19778	7539
724	19807	7513
725	19837	7486
726	19881	7465
727	19913	7440
728	19941	7413
729	20000	7397
730	20037	7373
731	20070	7348
732	20104	7323
733	20133	7296
734	20164	7270
735	20195	7243
736	20223	7216
737	20252	7190
738	20286	7164
739	20316	7138
740	20345	7111
741	20374	7084
742	20405	7058
743	20434	7031
744	20464	7004
745	20493	6977
746	20522	6950
747	20549	6922
748	20574	6894
749	20601	6867
750	20627	6839
751	20656	6812
752	20683	6784
753	20731	6763
754	20759	6736
755	20789	6709
756	20817	6682
757	20843	6654
758	20869	6626
759	20895	6598
760	20921	6570
761	20949	6543
762	20977	6515
763	21001	6487
764	21027	6459
765	21054	6431
766	21079	6403
767	21105	6375
768	21130	6347
769	21158	6320
770	21185	6292
771	21208	6263
772	21234	6235
773	21258	6207
774	21284	6179
775	21309	6151
776	21343	6125
777	21413	6110
778	21447	6084
779	21477	6057
780	21506	6030
781	21531	6002
782	21561	5975
783	21587	5947
784	21625	5922
785	21650	5894
786	21675	5866
787	21702	5838
788	21727	5810
789	21753	5782
790	21780	5754
791	21807	5727
792	21832	5699
793	21857	5670
794	21882	5642
795	21908	5614
796	21934	5586
797	21959	5558
798	21986	5530
799	22025	5506
800	22052	5478
801	22078	5450
802	22103	5422
803	22127	5394
804	22152	5366
805	22180	5338
806	22208	5311
807	22236	5283
808	22262	5256
809	22289	5228
810	22313	5200
811	22339	5172
812	22365	5144
813	22390	5116
814	22417	5088
815	22446	5061
816	22472	5033
817	22496	5005
818	22519	4976
819	22544	4948
820	22568	4920
821	22594	4892
822	22618	4864
823	22647	4837
824	22671	4809
825	22696	4781
826	22721	4753
827	22746	4725
828	22770	4697
829	22796	4669
830	22820	4641
831	22893	4622
832	22923	4595
833	22948	4567
834	22975	4540
835	23003	4512
836	23029	4484
837	23054	4456
838	23084	4429
839	23108	4401
840	23133	4373
841	23161	4346
842	23187	4318
843	23212	4290
844	23237	4262
845	23262	4234
846	23289	4206
847	23313	4178
848	23339	4151
849	23364	4123
850	23390	4095
851	23415	4067
852	23439	4039
853	23463	4011
854	23489	3983
855	23527	3957
856	23554	3930
857	23581	3902
858	23606	3874
859	23630	3846
860	23654	3818
861	23679	3790
862	23703	3762
863	23731	3735
864	23757	3707
865	23782	3679
866	23805	3651
867	23830	3623
868	23854	3595
869	23880	3568
870	23904	3540
871	23931	3512
872	23958	3485
873	23984	3457
874	24009	3429
875	24034	3402
876	24057	3374
877	24082	3346
878	24107	3318
879	24134	3291
880	24163	3263
881	24218	3240
882	24244	3212
883	24269	3184
884	24296	3157
885	24320	3129
886	24350	3102
887	24393	3076
888	24418	3048
889	24445	3021
890	24468	2993
891	24493	2965
892	24520	2938
893	24545	2910
894	24571	2882
895	24601	2855
896	24627	2827
897	24651	2800
898	24677	2772
899	24701	2744
900	24727	2717
901	24752	2689
902	24780	2661
903	24810	2634
904	24841	2607
905	24868	2580
906	24897	2552
907	24929	2525
908	24959	2498
909	24986	2471
910	25017	2444
911	25063	2418
912	25094	2391
913	25125	2364
914	25157	2337
915	25187	2309
916	25215	2282
917	25248	2255
918	25278	2228
919	25307	2200
920	25337	2173
921	25364	2145
922	25390	2118
923	25421	2090
924	25458	2064
925	25488	2036
926	25518	2009
927	25548	1982
928	25577	1954
929	25606	1927
930	25636	1900
931	25666	1872
932	25702	1845
933	25765	1820
934	25799	1793
935	25829	1766
936	25858	1738
937	25906	1712
938	25938	1685
939	25969	1657
940	25999	1630
941	26029	1602
942	26059	1575
943	26089	1547
944	26121	1520
945	26150	1492
946	26177	1465
947	26202	1437
948	26229	1409
949	26257	1381
950	26283	1354
951	26311	1326
952	26350	1299
953	26379	1271
954	26403	1244
955	26431	1216
956	26456	1188
957	26481	1160
958	26507	1133
959	26534	1105
960	26561	1077
961	26589	1050
962	26614	1022
963	26639	994
964	26663	967
965	26690	939
966	26714	911
967	26740	883
968	26766	856
969	26805	829
970	26830	801
971	26856	773
972	26880	745
973	26907	718
974	26933	690
975	26962	663
976	26992	635
977	27022	607
978	27053	580
979	27084	552
980	27111	525
981	27138	497
982	27195	470
983	27239	442
984	27269	415
985	27294	387
986	27321	359
987	27346	332
988	27372	304
989	27398	276
990	27424	249
991	27454	221
992	27479	193
993	27504	166
994	27530	138
995	27555	110
996	27581	82
997	27605	55
998	27632	27
999	27657	0
